"hgnc_symbol","gene_biotype","ensembl_gene_id","description"
"HEATR5B","protein_coding","ENSG00000008869","Predicted to be involved in endocytosis; protein localization; and retrograde transport, endosome to Golgi. Located in membrane. [provided by Alliance of Genome Resources, Apr 2022]"
"UBE3C","protein_coding","ENSG00000009335","Enables ubiquitin protein ligase activity. Involved in protein polyubiquitination. Predicted to be located in nucleus. Predicted to be part of proteasome complex. [provided by Alliance of Genome Resources, Apr 2022]"
"VTA1","protein_coding","ENSG00000009844","C6ORF55 encodes a protein involved in trafficking of the multivesicular body, an endosomal compartment involved in sorting membrane proteins for degradation in lysosomes (Ward et al., 2005 [PubMed 15644320]).[supplied by OMIM, Mar 2008]"
"UQCRC1","protein_coding","ENSG00000010256","Enables ubiquitin protein ligase binding activity. Predicted to be involved in oxidative phosphorylation. Predicted to act upstream of or within mitochondrial electron transport, ubiquinol to cytochrome c. Located in mitochondrion. Implicated in Alzheimer's disease. Biomarker of Alzheimer's disease. [provided by Alliance of Genome Resources, Apr 2022]"
"PHF7","protein_coding","ENSG00000010318","Spermatogenesis is a complex process regulated by extracellular and intracellular factors as well as cellular interactions among interstitial cells of the testis, Sertoli cells, and germ cells. This gene is expressed in the testis in Sertoli cells but not germ cells. The protein encoded by this gene contains plant homeodomain (PHD) finger domains, also known as leukemia associated protein (LAP) domains, believed to be involved in transcriptional regulation. The protein, which localizes to the nucleus of transfected cells, has been implicated in the transcriptional regulation of spermatogenesis. Alternate splicing results in multiple transcript variants of this gene. [provided by RefSeq, May 2013]"
"IDS","protein_coding","ENSG00000010404","This gene encodes a member of the sulfatase family of proteins. The encoded preproprotein is proteolytically processed to generate two polypeptide chains. This enzyme is involved in the lysosomal degradation of heparan sulfate and dermatan sulfate. Mutations in this gene are associated with the X-linked lysosomal storage disease mucopolysaccharidosis type II, also known as Hunter syndrome. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed. [provided by RefSeq, Jan 2016]"
"ZNF200","protein_coding","ENSG00000010539","Predicted to enable metal ion binding activity. Predicted to be located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
"CLCN6","protein_coding","ENSG00000011021","This gene encodes a member of the voltage-dependent chloride channel protein family. Members of this family can function as either chloride channels or antiporters. This protein is primarily localized to late endosomes and functions as a chloride/proton antiporter. Alternate splicing results in both coding and non-coding variants. Additional alternately spliced variants have been described but their full-length structure is unknown. [provided by RefSeq, Mar 2012]"
"DPF1","protein_coding","ENSG00000011332","Enables sequence-specific double-stranded DNA binding activity. Predicted to be involved in negative regulation of transcription, DNA-templated; nervous system development; and positive regulation of transcription by RNA polymerase II. Predicted to be located in cytoplasm. Predicted to be part of nBAF complex. [provided by Alliance of Genome Resources, Apr 2022]"
"SYT7","protein_coding","ENSG00000011347","This gene is a member of the synaptotagmin gene family and encodes a protein similar to other family members that mediate calcium-dependent regulation of membrane trafficking in synaptic transmission. A similar protein in rodents mediates hormone secretion and lysosome exocytosis. In humans, expression of this gene has been associated with prostate cancer. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Oct 2011]"
"CEP68","protein_coding","ENSG00000011523","Enables protein domain specific binding activity and protein kinase binding activity. Involved in centriole-centriole cohesion and protein localization to organelle. Located in several cellular components, including centriolar satellite; cytosol; and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
"EXTL3","protein_coding","ENSG00000012232","This gene encodes a single-pass membrane protein which functions as a glycosyltransferase. The encoded protein catalyzes the transfer of N-acetylglucosamine to glycosaminoglycan chains. This reaction is important in heparin and heparan sulfate synthesis. Alternative splicing results in the multiple transcript variants. [provided by RefSeq, Nov 2012]"
"PSMC4","protein_coding","ENSG00000013275","The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are composed of 7 beta subunits. The 19S regulator is composed of a base, which contains 6 ATPase subunits and 2 non-ATPase subunits, and a lid, which contains up to 10 non-ATPase subunits. Proteasomes are distributed throughout eukaryotic cells at a high concentration and cleave peptides in an ATP/ubiquitin-dependent process in a non-lysosomal pathway. This gene encodes a member of the triple-A family of ATPases that is a component of the 19S regulatory subunit and plays a role in 26S proteasome assembly. The encoded protein interacts with gankyrin, a liver oncoprotein, and may also play a role in Parkinson's disease through interactions with synphilin-1. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Jul 2012]"
"SLC7A14","protein_coding","ENSG00000013293","This gene is predicted to encode a glycosylated, cationic amino acid transporter protein with 14 transmembrane domains. This gene is primarily expressed in skin fibroblasts, neural tissue, and primary endothelial cells and its protein is predicted to mediate lysosomal uptake of cationic amino acids. Mutations in this gene are associated with autosomal recessive retinitis pigmentosa. In mice, this gene is expressed in the photoreceptor layer of the retina where its expression increases over the course of retinal development and persists in the mature retina. [provided by RefSeq, Apr 2014]"
"MATR3","protein_coding","ENSG00000015479","This gene encodes a nuclear matrix protein, which is proposed to stabilize certain messenger RNA species. Mutations of this gene are associated with distal myopathy 2, which often includes vocal cord and pharyngeal weakness. Alternatively spliced transcript variants, including read-through transcripts composed of the upstream small nucleolar RNA host gene 4 (non-protein coding) and matrin 3 gene sequence, have been identified. Pseudogenes of this gene are located on chromosomes 1 and X. [provided by RefSeq, Aug 2013]"
"STMN4","protein_coding","ENSG00000015592","Predicted to enable tubulin binding activity. Predicted to be involved in microtubule depolymerization; neuron projection development; and regulation of microtubule polymerization or depolymerization. Predicted to be located in Golgi apparatus and growth cone. Predicted to be active in cytoplasm and neuron projection. [provided by Alliance of Genome Resources, Apr 2022]"
"NUDCD3","protein_coding","ENSG00000015676","The product of this gene functions to maintain the stability of dynein intermediate chain. Depletion of this gene product results in aggregation and degradation of dynein intermediate chain, mislocalization of the dynein complex from kinetochores, spindle microtubules, and spindle poles, and loss of gamma-tubulin from spindle poles. The protein localizes to the Golgi apparatus during interphase, and levels of the protein increase after the G1/S transition. [provided by RefSeq, Jul 2008]"
"RUFY3","protein_coding","ENSG00000018189","This gene encodes a RPIP8, UNC-14, and NESCA domain-containing protein that is required for maintenance of neuronal polarity. In addition, it has been implicated in mediation of gastric cancer cell migration and invasion via interaction with P21-activated kinase-1, which promotes its expression. The encoded protein localizes to F-actin-enriched invadopodia to induce formation of protrusions, thereby facilitating cell migration. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2016]"
"STEEP1","protein_coding","ENSG00000018610","While this gene is well-supported by transcript data, no functional information on its protein products is currently available. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2009]"
"ZNF582","protein_coding","ENSG00000018869","The protein encoded by this gene is a zing finger protein and putative transcription factor that is highly methylated in cervical cancers. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Feb 2016]"
"NDUFS1","protein_coding","ENSG00000023228","The protein encoded by this gene belongs to the complex I 75 kDa subunit family. Mammalian complex I is composed of 45 different subunits. It locates at the mitochondrial inner membrane. This protein has NADH dehydrogenase activity and oxidoreductase activity. It transfers electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. This protein is the largest subunit of complex I and it is a component of the iron-sulfur (IP) fragment of the enzyme. It may form part of the active site crevice where NADH is oxidized. Mutations in this gene are associated with complex I deficiency. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2011]"
"RB1CC1","protein_coding","ENSG00000023287","The protein encoded by this gene interacts with signaling pathways to coordinately regulate cell growth, cell proliferation, apoptosis, autophagy, and cell migration. This tumor suppressor also enhances retinoblastoma 1 gene expression in cancer cells. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Nov 2009]"
"ALAS1","protein_coding","ENSG00000023330","This gene encodes the mitochondrial enzyme which is catalyzes the rate-limiting step in heme (iron-protoporphyrin) biosynthesis. The enzyme encoded by this gene is the housekeeping enzyme; a separate gene encodes a form of the enzyme that is specific for erythroid tissue. The level of the mature encoded protein is regulated by heme: high levels of heme down-regulate the mature enzyme in mitochondria while low heme levels up-regulate. A pseudogene of this gene is located on chromosome 12. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jan 2015]"
"AKAP11","protein_coding","ENSG00000023516","The A-kinase anchor proteins (AKAPs) are a group of structurally diverse proteins, which have the common function of binding to the regulatory subunit of protein kinase A (PKA) and confining the holoenzyme to discrete locations within the cell. This gene encodes a member of the AKAP family. The encoded protein is expressed at high levels throughout spermatogenesis and in mature sperm. It binds the RI and RII subunits of PKA in testis. It may serve a function in cell cycle control of both somatic cells and germ cells in addition to its putative role in spermatogenesis and sperm function. [provided by RefSeq, Jul 2008]"
"SARS1","protein_coding","ENSG00000031698","This gene belongs to the class II amino-acyl tRNA family. The encoded enzyme catalyzes the transfer of L-serine to tRNA (Ser) and is related to bacterial and yeast counterparts. Multiple alternatively spliced transcript variants have been described but the biological validity of all variants is unknown. [provided by RefSeq, Jul 2010]"
"ABCF2","protein_coding","ENSG00000033050","This gene encodes a member of the ATP-binding cassette (ABC) transporter superfamily. ATP-binding cassette proteins transport various molecules across extra- and intracellular membranes. Alterations in this gene may be involved in cancer progression. Related pseudogenes have been identified on chromosomes 3 and 7. [provided by RefSeq, Mar 2019]"
"CHPF2","protein_coding","ENSG00000033100","Predicted to enable glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity. Predicted to be involved in chondroitin sulfate biosynthetic process. Located in membrane. [provided by Alliance of Genome Resources, Apr 2022]"
"FAM136A","protein_coding","ENSG00000035141","This gene encodes a mitochondrially localized protein that is highly conserved across species. The gene is expressed in a variety of tissues including human lymphoblast cells and rat neurosensorial epithelium of the cristaampullaris. A mutation in this gene has been associated with familial Meniere's disease, a chronic disorder of the inner ear. Several pseudogenes of this gene are found on other chromosomes. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2016]"
"USP2","protein_coding","ENSG00000036672","This gene encodes a member of the family of de-ubiquitinating enzymes, which belongs to the peptidase C19 superfamily. The encoded protein is a ubiquitin-specific protease which is required for TNF-alpha (tumor necrosis factor alpha) -induced NF-kB (nuclear factor kB) signaling. This protein deubiquitinates polyubiquitinated target proteins such as fatty acid synthase, murine double minute 2 (MDM2), MDM4/MDMX and cyclin D1. MDM2 and MDM4 are negative regulators of the p53 tumor suppressor and cyclin D1 is required for cell cycle G1/S transition. Multiple alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Aug 2011]"
"PHLPP2","protein_coding","ENSG00000040199","Predicted to enable protein serine/threonine phosphatase activity. Predicted to be involved in signal transduction. Located in several cellular components, including intercellular bridge; mitotic spindle; and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
"CUL7","protein_coding","ENSG00000044090","The protein encoded by this gene is a component of an E3 ubiquitin-protein ligase complex. The encoded protein interacts with TP53, CUL9, and FBXW8 proteins. Defects in this gene are a cause of 3M syndrome type 1 (3M1). Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2009]"
"GOPC","protein_coding","ENSG00000047932","This gene encodes a Golgi protein with a PDZ domain. The PDZ domain is globular and proteins which contain them bind other proteins through short motifs near the C-termini. Mice which are deficient in the orthologous protein have globozoospermia and are infertile. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2011]"
"LMO3","protein_coding","ENSG00000048540","The protein encoded by this gene belongs to the rhombotin family of cysteine-rich LIM domain oncogenes. This gene is predominantly expressed in the brain. Related family members, LMO1 and LMO2 on chromosome 11, have been reported to be involved in chromosomal translocations in T-cell leukemia. Many alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Aug 2011]"
"RFC2","protein_coding","ENSG00000049541","This gene encodes a member of the activator 1 small subunits family. The elongation of primed DNA templates by DNA polymerase delta and epsilon requires the action of the accessory proteins, proliferating cell nuclear antigen (PCNA) and replication factor C (RFC). Replication factor C, also called activator 1, is a protein complex consisting of five distinct subunits. This gene encodes the 40 kD subunit, which has been shown to be responsible for binding ATP and may help promote cell survival. Disruption of this gene is associated with Williams syndrome. Alternatively spliced transcript variants encoding distinct isoforms have been described. A pseudogene of this gene has been defined on chromosome 2. [provided by RefSeq, Jul 2013]"
"HEXB","protein_coding","ENSG00000049860","Hexosaminidase B is the beta subunit of the lysosomal enzyme beta-hexosaminidase that, together with the cofactor GM2 activator protein, catalyzes the degradation of the ganglioside GM2, and other molecules containing terminal N-acetyl hexosamines. Beta-hexosaminidase is composed of two subunits, alpha and beta, which are encoded by separate genes. Both beta-hexosaminidase alpha and beta subunits are members of family 20 of glycosyl hydrolases. Mutations in the alpha or beta subunit genes lead to an accumulation of GM2 ganglioside in neurons and neurodegenerative disorders termed the GM2 gangliosidoses. Beta subunit gene mutations lead to Sandhoff disease (GM2-gangliosidosis type II). Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2014]"
"FHIP1B","protein_coding","ENSG00000051009","The protein encoded by this gene is part of the FTS/Hook/FHIP (FHF) complex, which can interact with members of the homotypic vesicular protein sorting (HOPS) complex. This interaction suggests that the encoded protein is involved in vesicle trafficking. [provided by RefSeq, Dec 2016]"
"TRAPPC3","protein_coding","ENSG00000054116","This gene encodes a component of the trafficking protein particle complex, which tethers transport vesicles to the cis-Golgi membrane. The encoded protein participates in the regulation of transport from the endoplasmic reticulum to the Golgi apparatus. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2012]"
"ATP9A","protein_coding","ENSG00000054793","Enables protease binding activity. Involved in negative regulation of exosomal secretion; regulation of endocytic recycling; and regulation of retrograde transport, endosome to Golgi. Located in several cellular components, including endosome membrane; perinuclear region of cytoplasm; and trans-Golgi network membrane. [provided by Alliance of Genome Resources, Apr 2022]"
"CUL1","protein_coding","ENSG00000055130","Predicted to enable ubiquitin protein ligase binding activity and ubiquitin-protein transferase activity. Involved in SCF-dependent proteasomal ubiquitin-dependent protein catabolic process and protein ubiquitination. Located in plasma membrane. Part of Parkin-FBXW7-Cul1 ubiquitin ligase complex and SCF ubiquitin ligase complex. [provided by Alliance of Genome Resources, Apr 2022]"
"CYFIP2","protein_coding","ENSG00000055163","Predicted to enable small GTPase binding activity. Involved in activation of cysteine-type endopeptidase activity; apoptotic process; and cell-cell adhesion. Located in perinuclear region of cytoplasm and synapse. Part of SCAR complex. Implicated in developmental and epileptic encephalopathy 65. [provided by Alliance of Genome Resources, Apr 2022]"
"HPF1","protein_coding","ENSG00000056050","Enables chromatin binding activity and histone binding activity. Involved in double-strand break repair; peptidyl-serine ADP-ribosylation; and regulation of protein modification process. Located in chromatin; nucleus; and site of DNA damage. [provided by Alliance of Genome Resources, Apr 2022]"
"MXD1","protein_coding","ENSG00000059728","This gene encodes a member of the MYC/MAX/MAD network of basic helix-loop-helix leucine zipper transcription factors. The MYC/MAX/MAD transcription factors mediate cellular proliferation, differentiation and apoptosis. The encoded protein antagonizes MYC-mediated transcriptional activation of target genes by competing for the binding partner MAX and recruiting repressor complexes containing histone deacetylases. Mutations in this gene may play a role in acute leukemia, and the encoded protein is a potential tumor suppressor. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Feb 2011]"
"CDK17","protein_coding","ENSG00000059758","The protein encoded by this gene belongs to the cdc2/cdkx subfamily of the ser/thr family of protein kinases. It has similarity to a rat protein that is thought to play a role in terminally differentiated neurons. Alternatively spliced transcript variants encoding different isoforms have been found. [provided by RefSeq, Jul 2010]"
"BCAT1","protein_coding","ENSG00000060982","This gene encodes the cytosolic form of the enzyme branched-chain amino acid transaminase. This enzyme catalyzes the reversible transamination of branched-chain alpha-keto acids to branched-chain L-amino acids essential for cell growth. Two different clinical disorders have been attributed to a defect of branched-chain amino acid transamination: hypervalinemia and hyperleucine-isoleucinemia. As there is also a gene encoding a mitochondrial form of this enzyme, mutations in either gene may contribute to these disorders. Alternatively spliced transcript variants have been described. [provided by RefSeq, May 2010]"
"MRPS35","protein_coding","ENSG00000061794","Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein that has had confusing nomenclature in the literature. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. Pseudogenes corresponding to this gene are found on chromosomes 3p, 5q, and 10q. [provided by RefSeq, Jul 2010]"
"CS","protein_coding","ENSG00000062485","The protein encoded by this gene is a Krebs tricarboxylic acid cycle enzyme that catalyzes the synthesis of citrate from oxaloacetate and acetyl coenzyme A. The enzyme is found in nearly all cells capable of oxidative metablism. This protein is nuclear encoded and transported into the mitochondrial matrix, where the mature form is found. [provided by RefSeq, Jul 2008]"
"ZC3H15","protein_coding","ENSG00000065548","Enables RNA binding activity and cadherin binding activity. Involved in positive regulation of GTPase activity. Located in cytosol. [provided by Alliance of Genome Resources, Apr 2022]"
"PDE4A","protein_coding","ENSG00000065989","The protein encoded by this gene belongs to the cyclic nucleotide phosphodiesterase (PDE) family, and PDE4 subfamily. This PDE hydrolyzes the second messenger, cAMP, which is a regulator and mediator of a number of cellular responses to extracellular signals. Thus, by regulating the cellular concentration of cAMP, this protein plays a key role in many important physiological processes. Alternatively spliced transcript variants encoding different isoforms have been described for this gene.[provided by RefSeq, Jul 2011]"
"NFYC","protein_coding","ENSG00000066136","This gene encodes one subunit of a trimeric complex forming a highly conserved transcription factor that binds with high specificity to CCAAT motifs in the promoters of a variety of genes. The encoded protein, subunit C, forms a tight dimer with the B subunit, a prerequisite for subunit A association. The resulting trimer binds to DNA with high specificity and affinity. Subunits B and C each contain a histone-like motif. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2008]"
"ATG2B","protein_coding","ENSG00000066739","This gene encodes a protein required for autophagy. The encoded protein is involved in autophagosome formation. A germline duplication of a region that includes this gene is associated with predisposition to myeloid malignancies. [provided by RefSeq, Jul 2016]"
"FECH","protein_coding","ENSG00000066926","The protein encoded by this gene is localized to the mitochondrion, where it catalyzes the insertion of the ferrous form of iron into protoporphyrin IX in the heme synthesis pathway. Mutations in this gene are associated with erythropoietic protoporphyria. Two transcript variants encoding different isoforms have been found for this gene. A pseudogene of this gene is found on chromosome 3.[provided by RefSeq, May 2010]"
"CACNB1","protein_coding","ENSG00000067191","The protein encoded by this gene belongs to the calcium channel beta subunit family. It plays an important role in the calcium channel by modulating G protein inhibition, increasing peak calcium current, controlling the alpha-1 subunit membrane targeting and shifting the voltage dependence of activation and inactivation. Alternative splicing occurs at this locus and three transcript variants encoding three distinct isoforms have been identified. [provided by RefSeq, Jul 2008]"
"PKM","protein_coding","ENSG00000067225","This gene encodes a protein involved in glycolysis. The encoded protein is a pyruvate kinase that catalyzes the transfer of a phosphoryl group from phosphoenolpyruvate to ADP, generating ATP and pyruvate. This protein has been shown to interact with thyroid hormone and may mediate cellular metabolic effects induced by thyroid hormones. This protein has been found to bind Opa protein, a bacterial outer membrane protein involved in gonococcal adherence to and invasion of human cells, suggesting a role of this protein in bacterial pathogenesis. Several alternatively spliced transcript variants encoding a few distinct isoforms have been reported. [provided by RefSeq, May 2011]"
"TRO","protein_coding","ENSG00000067445","This gene encodes a membrane protein that mediates cell adhesion between trophoblastic cells and the epithelial cells of the endometrium. The encoded protein participates in cell signalling during embryo implantation, and may also be involved in cancer formation. This gene is located near several other closely related genes on chromosome X. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2012]"
"IDH3G","protein_coding","ENSG00000067829","Isocitrate dehydrogenases catalyze the oxidative decarboxylation of isocitrate to 2-oxoglutarate. These enzymes belong to two distinct subclasses, one of which utilizes NAD(+) as the electron acceptor and the other NADP(+). Five isocitrate dehydrogenases have been reported: three NAD(+)-dependent isocitrate dehydrogenases, which localize to the mitochondrial matrix, and two NADP(+)-dependent isocitrate dehydrogenases, one of which is mitochondrial and the other predominantly cytosolic. NAD(+)-dependent isocitrate dehydrogenases catalyze the allosterically regulated rate-limiting step of the tricarboxylic acid cycle. Each isozyme is a heterotetramer that is composed of two alpha subunits, one beta subunit, and one gamma subunit. The protein encoded by this gene is the gamma subunit of one isozyme of NAD(+)-dependent isocitrate dehydrogenase. This gene is a candidate gene for periventricular heterotopia. Several alternatively spliced transcript variants of this gene have been described, but only some of their full length natures have been determined. [provided by RefSeq, Jul 2008]"
"TBC1D25","protein_coding","ENSG00000068354","This gene encodes a protein with a TBC domain and functions as a Rab GTPase activating protein. The encoded protein is involved in the fusion of autophagosomes with endosomes and lysosomes. This gene was previously known as ornithine aminotransferase-like 1, but has no similarity to ornithine aminotransferase. [provided by RefSeq, Jan 2017]"
"ACSL4","protein_coding","ENSG00000068366","The protein encoded by this gene is an isozyme of the long-chain fatty-acid-coenzyme A ligase family. Although differing in substrate specificity, subcellular localization, and tissue distribution, all isozymes of this family convert free long-chain fatty acids into fatty acyl-CoA esters, and thereby play a key role in lipid biosynthesis and fatty acid degradation. This isozyme preferentially utilizes arachidonate as substrate. The absence of this enzyme may contribute to the cognitive disability or Alport syndrome. Alternative splicing of this gene generates multiple transcript variants. [provided by RefSeq, Jan 2016]"
"ERLEC1","protein_coding","ENSG00000068912","This gene encodes a resident endoplasmic reticulum (ER) protein that functions in N-glycan recognition. This protein is thought to be involved in ER-associated degradation via its interaction with the membrane-associated ubiquitin ligase complex. It also functions as a regulator of multiple cellular stress-response pathways in a manner that promotes metastatic cell survival. Alternative splicing results in multiple transcript variants. A related pseudogene has been identified on chromosome 21. [provided by RefSeq, Aug 2011]"
"KCNAB2","protein_coding","ENSG00000069424","Voltage-gated potassium (Kv) channels represent the most complex class of voltage-gated ion channels from both functional and structural standpoints. Their diverse functions include regulating neurotransmitter release, heart rate, insulin secretion, neuronal excitability, epithelial electrolyte transport, smooth muscle contraction, and cell volume. Four sequence-related potassium channel genes - shaker, shaw, shab, and shal - have been identified in Drosophila, and each has been shown to have human homolog(s). This gene encodes a member of the potassium channel, voltage-gated, shaker-related subfamily. This member is one of the beta subunits, which are auxiliary proteins associating with functional Kv-alpha subunits. This member alters functional properties of the KCNA4 gene product. Alternative splicing of this gene results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Dec 2010]"
