"hgnc_symbol","gene_biotype","ensembl_gene_id","description"
"TNFRSF10A","protein_coding","ENSG00000104689","The protein encoded by this gene is a member of the TNF-receptor superfamily. This receptor is activated by tumor necrosis factor-related apoptosis inducing ligand (TNFSF10/TRAIL), and thus transduces cell death signal and induces cell apoptosis. Studies with FADD-deficient mice suggested that FADD, a death domain containing adaptor protein, is required for the apoptosis mediated by this protein. [provided by RefSeq, Jul 2008]"
"ARHGEF10","protein_coding","ENSG00000104728","This gene encodes a Rho guanine nucleotide exchange factor (GEF). Rho GEFs regulate the activity of small Rho GTPases by stimulating the exchange of guanine diphosphate (GDP) for guanine triphosphate (GTP) and may play a role in neural morphogenesis. Mutations in this gene are associated with slowed nerve conduction velocity (SNCV). Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2015]"
"DOT1L","protein_coding","ENSG00000104885","The protein encoded by this gene is a histone methyltransferase that methylates lysine-79 of histone H3. It is inactive against free core histones, but shows significant histone methyltransferase activity against nucleosomes. [provided by RefSeq, Aug 2011]"
"PRKD2","protein_coding","ENSG00000105287","The protein encoded by this gene belongs to the protein kinase D (PKD) family of serine/threonine protein kinases. This kinase can be activated by phorbol esters as well as by gastrin via the cholecystokinin B receptor (CCKBR) in gastric cancer cells. It can bind to diacylglycerol (DAG) in the trans-Golgi network (TGN) and may regulate basolateral membrane protein exit from TGN. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008]"
"CAPS","protein_coding","ENSG00000105519","This gene encodes a calcium-binding protein, which may play a role in the regulation of ion transport. A similar protein was first described as a potentially important regulatory protein in the dog thyroid and was termed as R2D5 antigen in rabbit. Alternative splicing of this gene generates two transcript variants. [provided by RefSeq, Jul 2008]"
"BCAT2","protein_coding","ENSG00000105552","This gene encodes a branched chain aminotransferase found in mitochondria. The encoded protein forms a dimer that catalyzes the first step in the production of the branched chain amino acids leucine, isoleucine, and valine. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2009]"
"ZC3HAV1","protein_coding","ENSG00000105939","This gene encodes a CCCH-type zinc finger protein. This antiviral protein inhibits viral replication by recruiting cellular RNA degradation machineries to degrade viral mRNAs. The encoded protein plays an important role in the innate immune response against multiple DNA and RNA viruses, including Ebola virus, HIV and SARS-CoV-2 (which causes COVID-19). [provided by RefSeq, Sep 2021]"
"CLDN15","protein_coding","ENSG00000106404","This gene encodes a member of the claudin family. Claudins are integral membrane proteins and components of tight junction strands. Tight junction strands serve as a physical barrier to prevent solutes and water from passing freely through the paracellular space between epithelial or endothelial cell sheets, and also play critical roles in maintaining cell polarity and signal transductions. Alternatively spliced transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jun 2010]"
"RARRES2","protein_coding","ENSG00000106538","This gene encodes a secreted chemotactic protein that initiates chemotaxis via the ChemR23 G protein-coupled seven-transmembrane domain ligand. Expression of this gene is upregulated by the synthetic retinoid tazarotene and occurs in a wide variety of tissues. The active protein has several roles, including that as an adipokine and as an antimicrobial protein with activity against bacteria and fungi. [provided by RefSeq, Nov 2014]"
"AEBP1","protein_coding","ENSG00000106624","This gene encodes a member of carboxypeptidase A protein family. The encoded protein may function as a transcriptional repressor and play a role in adipogenesis and smooth muscle cell differentiation. Studies in mice suggest that this gene functions in wound healing and abdominal wall development. Overexpression of this gene is associated with glioblastoma. [provided by RefSeq, May 2013]"
"ICAM2","protein_coding","ENSG00000108622","The protein encoded by this gene is a member of the intercellular adhesion molecule (ICAM) family. All ICAM proteins are type I transmembrane glycoproteins, contain 2-9 immunoglobulin-like C2-type domains, and bind to the leukocyte adhesion LFA-1 protein. This protein may play a role in lymphocyte recirculation by blocking LFA-1-dependent cell adhesion. It mediates adhesive interactions important for antigen-specific immune response, NK-cell mediated clearance, lymphocyte recirculation, and other cellular interactions important for immune response and surveillance. Several transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jul 2008]"
"CLEC2B","protein_coding","ENSG00000110852","This gene encodes a member of the C-type lectin/C-type lectin-like domain (CTL/CTLD) superfamily. Members of this family share a common protein fold and have diverse functions, such as cell adhesion, cell-cell signalling, glycoprotein turnover, and roles in inflammation and immune response. The encoded type 2 transmembrane protein may function as a cell activation antigen. An alternative splice variant has been described but its full-length sequence has not been determined. This gene is closely linked to other CTL/CTLD superfamily members on chromosome 12p13 in the natural killer gene complex region. [provided by RefSeq, Jul 2008]"
"BCL6","protein_coding","ENSG00000113916","The protein encoded by this gene is a zinc finger transcription factor and contains an N-terminal POZ domain. This protein acts as a sequence-specific repressor of transcription, and has been shown to modulate the transcription of STAT-dependent IL-4 responses of B cells. This protein can interact with a variety of POZ-containing proteins that function as transcription corepressors. This gene is found to be frequently translocated and hypermutated in diffuse large-cell lymphoma (DLCL), and may be involved in the pathogenesis of DLCL. Alternatively spliced transcript variants encoding different protein isoforms have been found for this gene. [provided by RefSeq, Aug 2015]"
"STEAP3","protein_coding","ENSG00000115107","This gene encodes a multipass membrane protein that functions as an iron transporter. The encoded protein can reduce both iron (Fe3+) and copper (Cu2+) cations. This protein may mediate downstream responses to p53, including promoting apoptosis. Deficiency in this gene can cause anemia. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2015]"
"ACVR1","protein_coding","ENSG00000115170","Activins are dimeric growth and differentiation factors which belong to the transforming growth factor-beta (TGF-beta) superfamily of structurally related signaling proteins. Activins signal through a heteromeric complex of receptor serine kinases which include at least two type I ( I and IB) and two type II (II and IIB) receptors. These receptors are all transmembrane proteins, composed of a ligand-binding extracellular domain with cysteine-rich region, a transmembrane domain, and a cytoplasmic domain with predicted serine/threonine specificity. Type I receptors are essential for signaling; and type II receptors are required for binding ligands and for expression of type I receptors. Type I and II receptors form a stable complex after ligand binding, resulting in phosphorylation of type I receptors by type II receptors. This gene encodes activin A type I receptor which signals a particular transcriptional response in concert with activin type II receptors. Mutations in this gene are associated with fibrodysplasia ossificans progressive. [provided by RefSeq, Jul 2008]"
"IL1R1","protein_coding","ENSG00000115594","This gene encodes a cytokine receptor that belongs to the interleukin-1 receptor family. The encoded protein is a receptor for interleukin-1 alpha, interleukin-1 beta, and interleukin-1 receptor antagonist. It is an important mediator involved in many cytokine-induced immune and inflammatory responses. This gene is located in a cluster of related cytokine receptor genes on chromosome 2q12. [provided by RefSeq, Dec 2013]"
"PRRX1","protein_coding","ENSG00000116132","The DNA-associated protein encoded by this gene is a member of the paired family of homeobox proteins localized to the nucleus. The protein functions as a transcription co-activator, enhancing the DNA-binding activity of serum response factor, a protein required for the induction of genes by growth and differentiation factors. The protein regulates muscle creatine kinase, indicating a role in the establishment of diverse mesodermal muscle types. Alternative splicing yields two isoforms that differ in abundance and expression patterns. [provided by RefSeq, Jul 2008]"
"CD58","protein_coding","ENSG00000116815","This gene encodes a member of the immunoglobulin superfamily. The encoded protein is a ligand of the T lymphocyte CD2 protein, and functions in adhesion and activation of T lymphocytes. The protein is localized to the plasma membrane. Alternatively spliced transcript variants have been described. [provided by RefSeq, Jan 2009]"
"ECE1","protein_coding","ENSG00000117298","The protein encoded by this gene is involved in proteolytic processing of endothelin precursors to biologically active peptides. Mutations in this gene are associated with Hirschsprung disease, cardiac defects and autonomic dysfunction. Alternatively spliced transcript variants encoding different isoforms have been noted for this gene.[provided by RefSeq, Sep 2009]"
