entrezgene_id	hgnc_symbol	gene_biotype	ensembl_gene_id	gene_name_kegg
3416	IDE	protein_coding	ENSG00000119912	IDE; insulin degrading enzyme [KO:K01408] [EC:3.4.24.56]
3551	IKBKB	protein_coding	ENSG00000104365	IKBKB; inhibitor of nuclear factor kappa B kinase subunit beta [KO:K07209] [EC:2.7.11.10]
3552	IL1A	protein_coding	ENSG00000115008	IL1A; interleukin 1 alpha [KO:K04383]
3553	IL1B	protein_coding	ENSG00000125538	IL1B; interleukin 1 beta [KO:K04519]
3569	IL6	protein_coding	ENSG00000136244	IL6; interleukin 6 [KO:K05405]
3630	INS	protein_coding	ENSG00000254647	INS; insulin [KO:K04526]
3643	INSR	protein_coding	ENSG00000171105	INSR; insulin receptor [KO:K04527] [EC:2.7.10.1]
3667	IRS1	protein_coding	ENSG00000169047	IRS1; insulin receptor substrate 1 [KO:K16172]
3708	ITPR1	protein_coding	ENSG00000150995	ITPR1; inositol 1,4,5-trisphosphate receptor type 1 [KO:K04958]
3709	ITPR2	protein_coding	ENSG00000123104	ITPR2; inositol 1,4,5-trisphosphate receptor type 2 [KO:K04959]
3710	ITPR3	protein_coding	ENSG00000096433	ITPR3; inositol 1,4,5-trisphosphate receptor type 3 [KO:K04960]
3798	KIF5A	protein_coding	ENSG00000155980	KIF5A; kinesin family member 5A [KO:K10396]
3799	KIF5B	protein_coding	ENSG00000170759	KIF5B; kinesin family member 5B [KO:K10396]
3800	KIF5C	protein_coding	ENSG00000276734	KIF5C; kinesin family member 5C [KO:K10396]
3800	KIF5C	protein_coding	ENSG00000168280	KIF5C; kinesin family member 5C [KO:K10396]
3831	KLC1	protein_coding	ENSG00000126214	KLC1; kinesin light chain 1 [KO:K10407]
3845	KRAS	protein_coding	ENSG00000133703	KRAS; KRAS proto-oncogene, GTPase [KO:K07827]
4023	LPL	protein_coding	ENSG00000175445	LPL; lipoprotein lipase [KO:K01059] [EC:3.1.1.34]
4035	LRP1	protein_coding	ENSG00000123384	LRP1; LDL receptor related protein 1 [KO:K04550]
4040	LRP6	protein_coding	ENSG00000281324	LRP6; LDL receptor related protein 6 [KO:K03068]
4040	LRP6	protein_coding	ENSG00000070018	LRP6; LDL receptor related protein 6 [KO:K03068]
4041	LRP5	protein_coding	ENSG00000162337	LRP5; LDL receptor related protein 5 [KO:K03068]
4137	MAPT	protein_coding	ENSG00000276155	MAPT; microtubule associated protein tau [KO:K04380]
4137	MAPT	protein_coding	ENSG00000277956	MAPT; microtubule associated protein tau [KO:K04380]
4137	MAPT	protein_coding	ENSG00000186868	MAPT; microtubule associated protein tau [KO:K04380]
4217	MAP3K5	protein_coding	ENSG00000197442	MAP3K5; mitogen-activated protein kinase kinase kinase 5 [KO:K04426] [EC:2.7.11.25]
4311	MME	protein_coding	ENSG00000196549	MME; membrane metalloendopeptidase [KO:K01389] [EC:3.4.24.11]
4508	MT-ATP6	protein_coding	ENSG00000198899	ATP6; ATP synthase F0 subunit 6 [KO:K02126]
4509	MT-ATP8	protein_coding	ENSG00000228253	ATP8; ATP synthase F0 subunit 8 [KO:K02125]
4512	MT-CO1	protein_coding	ENSG00000198804	COX1; cytochrome c oxidase subunit I [KO:K02256] [EC:7.1.1.9]
4513	MT-CO2	protein_coding	ENSG00000198712	COX2; cytochrome c oxidase subunit II [KO:K02261]
4514	MT-CO3	protein_coding	ENSG00000198938	COX3; cytochrome c oxidase subunit III [KO:K02262]
4519	MT-CYB	protein_coding	ENSG00000198727	CYTB; cytochrome b [KO:K00412]
4535	MT-ND1	protein_coding	ENSG00000198888	ND1; NADH dehydrogenase subunit 1 [KO:K03878] [EC:7.1.1.2]
4536	MT-ND2	protein_coding	ENSG00000198763	ND2; NADH dehydrogenase subunit 2 [KO:K03879] [EC:7.1.1.2]
4537	MT-ND3	protein_coding	ENSG00000198840	ND3; NADH dehydrogenase subunit 3 [KO:K03880] [EC:7.1.1.2]
4538	MT-ND4	protein_coding	ENSG00000198886	ND4; NADH dehydrogenase subunit 4 [KO:K03881] [EC:7.1.1.2]
4539	MT-ND4L	protein_coding	ENSG00000212907	ND4L; NADH dehydrogenase subunit 4L [KO:K03882] [EC:7.1.1.2]
4540	MT-ND5	protein_coding	ENSG00000198786	ND5; NADH dehydrogenase subunit 5 [KO:K03883] [EC:7.1.1.2]
4541	MT-ND6	protein_coding	ENSG00000198695	ND6; NADH dehydrogenase subunit 6 [KO:K03884] [EC:7.1.1.2]
4694	NDUFA1	protein_coding	ENSG00000125356	NDUFA1; NADH:ubiquinone oxidoreductase subunit A1 [KO:K03945]
4695	NDUFA2	protein_coding	ENSG00000131495	NDUFA2; NADH:ubiquinone oxidoreductase subunit A2 [KO:K03946]
4696	NDUFA3	protein_coding	ENSG00000273642	NDUFA3; NADH:ubiquinone oxidoreductase subunit A3 [KO:K03947]
4696	NDUFA3	protein_coding	ENSG00000275724	NDUFA3; NADH:ubiquinone oxidoreductase subunit A3 [KO:K03947]
4696	NDUFA3	protein_coding	ENSG00000276061	NDUFA3; NADH:ubiquinone oxidoreductase subunit A3 [KO:K03947]
4696	NDUFA3	protein_coding	ENSG00000278365	NDUFA3; NADH:ubiquinone oxidoreductase subunit A3 [KO:K03947]
4696	NDUFA3	protein_coding	ENSG00000276766	NDUFA3; NADH:ubiquinone oxidoreductase subunit A3 [KO:K03947]
4696	NDUFA3	protein_coding	ENSG00000276220	NDUFA3; NADH:ubiquinone oxidoreductase subunit A3 [KO:K03947]
4696	NDUFA3	protein_coding	ENSG00000277722	NDUFA3; NADH:ubiquinone oxidoreductase subunit A3 [KO:K03947]
4696	NDUFA3	protein_coding	ENSG00000274359	NDUFA3; NADH:ubiquinone oxidoreductase subunit A3 [KO:K03947]
4696	NDUFA3	protein_coding	ENSG00000275605	NDUFA3; NADH:ubiquinone oxidoreductase subunit A3 [KO:K03947]
4696	NDUFA3	protein_coding	ENSG00000170906	NDUFA3; NADH:ubiquinone oxidoreductase subunit A3 [KO:K03947]
4697	NDUFA4	protein_coding	ENSG00000189043	NDUFA4; NDUFA4 mitochondrial complex associated [KO:K03948]
4698	NDUFA5	protein_coding	ENSG00000128609	NDUFA5; NADH:ubiquinone oxidoreductase subunit A5 [KO:K03949]
4700	NDUFA6	protein_coding	ENSG00000277365	NDUFA6; NADH:ubiquinone oxidoreductase subunit A6 [KO:K03950]
4700	NDUFA6	protein_coding	ENSG00000272765	NDUFA6; NADH:ubiquinone oxidoreductase subunit A6 [KO:K03950]
4700	NDUFA6	protein_coding	ENSG00000273397	NDUFA6; NADH:ubiquinone oxidoreductase subunit A6 [KO:K03950]
4700	NDUFA6	protein_coding	ENSG00000281013	NDUFA6; NADH:ubiquinone oxidoreductase subunit A6 [KO:K03950]
4700	NDUFA6	protein_coding	ENSG00000184983	NDUFA6; NADH:ubiquinone oxidoreductase subunit A6 [KO:K03950]
4701	NDUFA7	protein_coding	ENSG00000267855	NDUFA7; NADH:ubiquinone oxidoreductase subunit A7 [KO:K03951]
4702	NDUFA8	protein_coding	ENSG00000119421	NDUFA8; NADH:ubiquinone oxidoreductase subunit A8 [KO:K03952]
4704	NDUFA9	protein_coding	ENSG00000139180	NDUFA9; NADH:ubiquinone oxidoreductase subunit A9 [KO:K03953]
4705	NDUFA10	protein_coding	ENSG00000130414	NDUFA10; NADH:ubiquinone oxidoreductase subunit A10 [KO:K03954]
4706	NDUFAB1	protein_coding	ENSG00000004779	NDUFAB1; NADH:ubiquinone oxidoreductase subunit AB1 [KO:K03955]
4707	NDUFB1	protein_coding	ENSG00000183648	NDUFB1; NADH:ubiquinone oxidoreductase subunit B1 [KO:K03957]
4708	NDUFB2	protein_coding	ENSG00000090266	NDUFB2; NADH:ubiquinone oxidoreductase subunit B2 [KO:K03958]
4709	NDUFB3	protein_coding	ENSG00000119013	NDUFB3; NADH:ubiquinone oxidoreductase subunit B3 [KO:K03959]
4710	NDUFB4	protein_coding	ENSG00000065518	NDUFB4; NADH:ubiquinone oxidoreductase subunit B4 [KO:K03960]
4711	NDUFB5	protein_coding	ENSG00000136521	NDUFB5; NADH:ubiquinone oxidoreductase subunit B5 [KO:K03961]
4712	NDUFB6	protein_coding	ENSG00000165264	NDUFB6; NADH:ubiquinone oxidoreductase subunit B6 [KO:K03962]
4713	NDUFB7	protein_coding	ENSG00000099795	NDUFB7; NADH:ubiquinone oxidoreductase subunit B7 [KO:K03963]
4714	NDUFB8	protein_coding	ENSG00000166136	NDUFB8; NADH:ubiquinone oxidoreductase subunit B8 [KO:K03964]
4715	NDUFB9	protein_coding	ENSG00000147684	NDUFB9; NADH:ubiquinone oxidoreductase subunit B9 [KO:K03965]
4716	NDUFB10	protein_coding	ENSG00000140990	NDUFB10; NADH:ubiquinone oxidoreductase subunit B10 [KO:K03966]
4717	NDUFC1	protein_coding	ENSG00000109390	NDUFC1; NADH:ubiquinone oxidoreductase subunit C1 [KO:K03967]
4718	NDUFC2	protein_coding	ENSG00000151366	NDUFC2; NADH:ubiquinone oxidoreductase subunit C2 [KO:K03968]
4719	NDUFS1	protein_coding	ENSG00000283447	NDUFS1; NADH:ubiquinone oxidoreductase core subunit S1 [KO:K03934] [EC:7.1.1.2]
4719	NDUFS1	protein_coding	ENSG00000023228	NDUFS1; NADH:ubiquinone oxidoreductase core subunit S1 [KO:K03934] [EC:7.1.1.2]
4720	NDUFS2	protein_coding	ENSG00000158864	NDUFS2; NADH:ubiquinone oxidoreductase core subunit S2 [KO:K03935] [EC:7.1.1.2]
4722	NDUFS3	protein_coding	ENSG00000285387	NDUFS3; NADH:ubiquinone oxidoreductase core subunit S3 [KO:K03936] [EC:7.1.1.2]
4722	NDUFS3	protein_coding	ENSG00000213619	NDUFS3; NADH:ubiquinone oxidoreductase core subunit S3 [KO:K03936] [EC:7.1.1.2]
4723	NDUFV1	protein_coding	ENSG00000167792	NDUFV1; NADH:ubiquinone oxidoreductase core subunit V1 [KO:K03942] [EC:7.1.1.2]
4724	NDUFS4	protein_coding	ENSG00000164258	NDUFS4; NADH:ubiquinone oxidoreductase subunit S4 [KO:K03937]
4725	NDUFS5	protein_coding	ENSG00000168653	NDUFS5; NADH:ubiquinone oxidoreductase subunit S5 [KO:K03938]
4726	NDUFS6	protein_coding	ENSG00000145494	NDUFS6; NADH:ubiquinone oxidoreductase subunit S6 [KO:K03939]
4728	NDUFS8	protein_coding	ENSG00000110717	NDUFS8; NADH:ubiquinone oxidoreductase core subunit S8 [KO:K03941] [EC:7.1.1.2]
4729	NDUFV2	protein_coding	ENSG00000178127	NDUFV2; NADH:ubiquinone oxidoreductase core subunit V2 [KO:K03943] [EC:7.1.1.2]
4731	NDUFV3	protein_coding	ENSG00000160194	NDUFV3; NADH:ubiquinone oxidoreductase subunit V3 [KO:K03944]
4790	NFKB1	protein_coding	ENSG00000109320	NFKB1; nuclear factor kappa B subunit 1 [KO:K02580]
4842	NOS1	protein_coding	ENSG00000089250	NOS1; nitric oxide synthase 1 [KO:K13240] [EC:1.14.13.39]
4843	NOS2	protein_coding	ENSG00000007171	NOS2; nitric oxide synthase 2 [KO:K13241] [EC:1.14.13.39]
4891	SLC11A2	protein_coding	ENSG00000110911	SLC11A2; solute carrier family 11 member 2 [KO:K21398]
4893	NRAS	protein_coding	ENSG00000213281	NRAS; NRAS proto-oncogene, GTPase [KO:K07828]
5289	PIK3C3	protein_coding	ENSG00000078142	PIK3C3; phosphatidylinositol 3-kinase catalytic subunit type 3 [KO:K00914] [EC:2.7.1.137]
5290	PIK3CA	protein_coding	ENSG00000121879	PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [KO:K00922] [EC:2.7.1.153]
5291	PIK3CB	protein_coding	ENSG00000051382	PIK3CB; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [KO:K00922] [EC:2.7.1.153]
5293	PIK3CD	protein_coding	ENSG00000171608	PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [KO:K00922] [EC:2.7.1.153]
5295	PIK3R1	protein_coding	ENSG00000145675	PIK3R1; phosphoinositide-3-kinase regulatory subunit 1 [KO:K02649]
5296	PIK3R2	protein_coding	ENSG00000105647	PIK3R2; phosphoinositide-3-kinase regulatory subunit 2 [KO:K02649]
5330	PLCB2	protein_coding	ENSG00000137841	PLCB2; phospholipase C beta 2 [KO:K05858] [EC:3.1.4.11]
5331	PLCB3	protein_coding	ENSG00000149782	PLCB3; phospholipase C beta 3 [KO:K05858] [EC:3.1.4.11]
5332	PLCB4	protein_coding	ENSG00000101333	PLCB4; phospholipase C beta 4 [KO:K05858] [EC:3.1.4.11]
5481	PPID	protein_coding	ENSG00000171497	PPID; peptidylprolyl isomerase D [KO:K05864] [EC:5.2.1.8]
5530	PPP3CA	protein_coding	ENSG00000138814	PPP3CA; protein phosphatase 3 catalytic subunit alpha [KO:K04348] [EC:3.1.3.16]
5532	PPP3CB	protein_coding	ENSG00000107758	PPP3CB; protein phosphatase 3 catalytic subunit beta [KO:K04348] [EC:3.1.3.16]
5533	PPP3CC	protein_coding	ENSG00000120910	PPP3CC; protein phosphatase 3 catalytic subunit gamma [KO:K04348] [EC:3.1.3.16]
5534	PPP3R1	protein_coding	ENSG00000221823	PPP3R1; protein phosphatase 3 regulatory subunit B, alpha [KO:K06268]
5535	PPP3R2	protein_coding	ENSG00000188386	PPP3R2; protein phosphatase 3 regulatory subunit B, beta [KO:K06268]
5594	MAPK1	protein_coding	ENSG00000100030	MAPK1; mitogen-activated protein kinase 1 [KO:K04371] [EC:2.7.11.24]
5595	MAPK3	protein_coding	ENSG00000102882	MAPK3; mitogen-activated protein kinase 3 [KO:K04371] [EC:2.7.11.24]
5599	MAPK8	protein_coding	ENSG00000107643	MAPK8; mitogen-activated protein kinase 8 [KO:K04440] [EC:2.7.11.24]
5601	MAPK9	protein_coding	ENSG00000050748	MAPK9; mitogen-activated protein kinase 9 [KO:K04440] [EC:2.7.11.24]
5602	MAPK10	protein_coding	ENSG00000109339	MAPK10; mitogen-activated protein kinase 10 [KO:K04440] [EC:2.7.11.24]
5604	MAP2K1	protein_coding	ENSG00000169032	MAP2K1; mitogen-activated protein kinase kinase 1 [KO:K04368] [EC:2.7.12.2]
5605	MAP2K2	protein_coding	ENSG00000126934	MAP2K2; mitogen-activated protein kinase kinase 2 [KO:K04369] [EC:2.7.12.2]
5609	MAP2K7	protein_coding	ENSG00000076984	MAP2K7; mitogen-activated protein kinase kinase 7 [KO:K04431] [EC:2.7.12.2]
5610	EIF2AK2	protein_coding	ENSG00000055332	EIF2AK2; eukaryotic translation initiation factor 2 alpha kinase 2 [KO:K16195] [EC:2.7.11.1]
5663	PSEN1	protein_coding	ENSG00000080815	PSEN1; presenilin 1 [KO:K04505] [EC:3.4.23.-]
5664	PSEN2	protein_coding	ENSG00000143801	PSEN2; presenilin 2 [KO:K04522] [EC:3.4.23.-]
5682	PSMA1	protein_coding	ENSG00000129084	PSMA1; proteasome 20S subunit alpha 1 [KO:K02725] [EC:3.4.25.1]
5683	PSMA2	protein_coding	ENSG00000106588	PSMA2; proteasome 20S subunit alpha 2 [KO:K02726] [EC:3.4.25.1]
5684	PSMA3	protein_coding	ENSG00000100567	PSMA3; proteasome 20S subunit alpha 3 [KO:K02727] [EC:3.4.25.1]
5685	PSMA4	protein_coding	ENSG00000041357	PSMA4; proteasome 20S subunit alpha 4 [KO:K02728] [EC:3.4.25.1]
5686	PSMA5	protein_coding	ENSG00000143106	PSMA5; proteasome 20S subunit alpha 5 [KO:K02729] [EC:3.4.25.1]
