"hgnc_symbol","gene_biotype","ensembl_gene_id","description"
"ADIPOR2","protein_coding","ENSG00000006831","The adiponectin receptors, ADIPOR1 (MIM 607945) and ADIPOR2, serve as receptors for globular and full-length adiponectin (MIM 605441) and mediate increased AMPK (see MIM 602739) and PPAR-alpha (PPARA; MIM 170998) ligand activities, as well as fatty acid oxidation and glucose uptake by adiponectin (Yamauchi et al., 2003 [PubMed 12802337]).[supplied by OMIM, Mar 2008]"
"ST7L","protein_coding","ENSG00000007341","This gene was identified by its similarity to the ST7 tumor suppressor gene found in the chromosome 7q31 region. This gene is clustered in a tail-to-tail manner with the WNT2B gene in a chromosomal region known to be deleted and rearranged in a variety of cancers. Several transcript variants encoding many different isoforms have been described, but some have not been fully characterized. [provided by RefSeq, Feb 2011]"
"SPAG9","protein_coding","ENSG00000008294","This gene encodes a member of the cancer testis antigen gene family. The encoded protein functions as a scaffold protein that structurally organizes mitogen-activated protein kinases and mediates c-Jun-terminal kinase signaling. This protein also binds to kinesin-1 and may be involved in microtubule-based membrane transport. This protein may play a role in tumor growth and development. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Oct 2011]"
"BAZ1B","protein_coding","ENSG00000009954","This gene encodes a member of the bromodomain protein family. The bromodomain is a structural motif characteristic of proteins involved in chromatin-dependent regulation of transcription. This gene is deleted in Williams-Beuren syndrome, a developmental disorder caused by deletion of multiple genes at 7q11.23. [provided by RefSeq, Jul 2008]"
"SPRTN","protein_coding","ENSG00000010072","The protein encoded by this gene may play a role in DNA repair during replication of damaged DNA. This protein recruits valosin containing protein (p97) to stalled DNA replication forks where it may prevent excessive translesional DNA synthesis and limit the number of DNA-damage induced mutations. It may also be involved in replication-related G2/M-checkpoint regulation. Deficiency of a similar protein in mouse causes chromosomal instability and progeroid phenotypes. Mutations in this gene have been associated with Ruijs-Aalfs syndrome (RJALS). Alternatively spliced transcript variants have been identified. [provided by RefSeq, Mar 2015]"
"BTBD7","protein_coding","ENSG00000011114","Predicted to be involved in regulation of branching involved in salivary gland morphogenesis. Predicted to be located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
"ABHD5","protein_coding","ENSG00000011198","The protein encoded by this gene belongs to a large family of proteins defined by an alpha/beta hydrolase fold, and contains three sequence motifs that correspond to a catalytic triad found in the esterase/lipase/thioesterase subfamily. It differs from other members of this subfamily in that its putative catalytic triad contains an asparagine instead of the serine residue. Mutations in this gene have been associated with Chanarin-Dorfman syndrome, a triglyceride storage disease with impaired long-chain fatty acid oxidation. [provided by RefSeq, Jul 2008]"
"MBTD1","protein_coding","ENSG00000011258","Enables methylated histone binding activity. Predicted to be involved in negative regulation of transcription, DNA-templated. Predicted to act upstream of or within embryonic skeletal system development. Predicted to be active in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
"MAP4K5","protein_coding","ENSG00000012983","This gene encodes a member of the serine/threonine protein kinase family, that is highly similar to yeast SPS1/STE20 kinase. Yeast SPS1/STE20 functions near the beginning of the MAP kinase signal cascades that is essential for yeast pheromone response. This kinase was shown to activate Jun kinase in mammalian cells, which suggested a role in stress response. Two alternatively spliced transcript variants encoding the same protein have been described for this gene. [provided by RefSeq, Jul 2008]"
"TTC27","protein_coding","ENSG00000018699",""
"MRE11","protein_coding","ENSG00000020922","This gene encodes a nuclear protein involved in homologous recombination, telomere length maintenance, and DNA double-strand break repair. By itself, the protein has 3' to 5' exonuclease activity and endonuclease activity. The protein forms a complex with the RAD50 homolog; this complex is required for nonhomologous joining of DNA ends and possesses increased single-stranded DNA endonuclease and 3' to 5' exonuclease activities. In conjunction with a DNA ligase, this protein promotes the joining of noncomplementary ends in vitro using short homologies near the ends of the DNA fragments. This gene has a pseudogene on chromosome 3. Alternative splicing of this gene results in two transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008]"
"AQR","protein_coding","ENSG00000021776","Enables 3'-5' RNA helicase activity and single-stranded RNA binding activity. Involved in mRNA splicing, via spliceosome. Located in nucleoplasm. Part of U2-type catalytic step 2 spliceosome. [provided by Alliance of Genome Resources, Apr 2022]"
"SNAPC1","protein_coding","ENSG00000023608","Predicted to enable sequence-specific DNA binding activity. Predicted to be involved in snRNA transcription by RNA polymerase II and snRNA transcription by RNA polymerase III. Located in nucleolus and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
"UBR2","protein_coding","ENSG00000024048","Enables leucine binding activity. Involved in cellular response to leucine and negative regulation of TOR signaling. Predicted to be located in cytosol. Predicted to be part of ubiquitin ligase complex. Predicted to be active in cytoplasm. Predicted to colocalize with chromatin. [provided by Alliance of Genome Resources, Apr 2022]"
"SNX1","protein_coding","ENSG00000028528","This gene encodes a member of the sorting nexin family. Members of this family contain a phox (PX) domain, which is a phosphoinositide binding domain, and are involved in intracellular trafficking. This endosomal protein regulates the cell-surface expression of epidermal growth factor receptor. This protein also has a role in sorting protease-activated receptor-1 from early endosomes to lysosomes. This protein may form oligomeric complexes with family members. This gene results in three transcript variants encoding distinct isoforms. [provided by RefSeq, Jul 2008]"
"NUP160","protein_coding","ENSG00000030066","A structural constituent of nuclear pore. Involved in mRNA export from nucleus and nephron development. Part of nuclear pore outer ring. Colocalizes with kinetochore. Implicated in nephrotic syndrome type 19. [provided by Alliance of Genome Resources, Apr 2022]"
"IFT88","protein_coding","ENSG00000032742","This gene encodes a member of the tetratrico peptide repeat (TPR) family. The encoded protein is involved in cilium biogenesis. Mutations of a similar gene in mouse can cause polycystic kidney disease. Several transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Jul 2017]"
"FUT8","protein_coding","ENSG00000033170","This gene encodes an enzyme belonging to the family of fucosyltransferases. The product of this gene catalyzes the transfer of fucose from GDP-fucose to N-linked type complex glycopeptides. This enzyme is distinct from other fucosyltransferases which catalyze alpha1-2, alpha1-3, and alpha1-4 fucose addition. The expression of this gene may contribute to the malignancy of cancer cells and to their invasive and metastatic capabilities. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2011]"
"UBA6","protein_coding","ENSG00000033178","Modification of proteins with ubiquitin (UBB; MIM 191339) or ubiquitin-like proteins controls many signaling networks and requires a ubiquitin-activating enzyme (E1), a ubiquitin conjugating enzyme (E2), and a ubiquitin protein ligase (E3). UBE1L2 is an E1 enzyme that initiates the activation and conjugation of ubiquitin-like proteins (Jin et al., 2007 [PubMed 17597759]).[supplied by OMIM, Mar 2008]"
"GAB2","protein_coding","ENSG00000033327","This gene is a member of the GRB2-associated binding protein (GAB) gene family. These proteins contain pleckstrin homology (PH) domain, and bind SHP2 tyrosine phosphatase and GRB2 adapter protein. They act as adapters for transmitting various signals in response to stimuli through cytokine and growth factor receptors, and T- and B-cell antigen receptors. The protein encoded by this gene is the principal activator of phosphatidylinositol-3 kinase in response to activation of the high affinity IgE receptor. Two alternatively spliced transcripts encoding different isoforms have been described for this gene. [provided by RefSeq, Nov 2009]"
"RFC1","protein_coding","ENSG00000035928","This gene encodes the large subunit of replication factor C, a five subunit DNA polymerase accessory protein, which is a DNA-dependent ATPase required for eukaryotic DNA replication and repair. The large subunit acts as an activator of DNA polymerases, binds to the 3' end of primers, and promotes coordinated synthesis of both strands. It may also have a role in telomere stability. Alternatively spliced transcript variants encoding different isoforms have been noted for this gene. [provided by RefSeq, Mar 2011]"
"TBC1D23","protein_coding","ENSG00000036054","Involved in brain development; retrograde transport, endosome to Golgi; and vesicle tethering to Golgi. Located in cytoplasmic vesicle and trans-Golgi network. Colocalizes with WASH complex. Implicated in pontocerebellar hypoplasia. [provided by Alliance of Genome Resources, Apr 2022]"
"ZZZ3","protein_coding","ENSG00000036549","Predicted to enable DNA binding activity and zinc ion binding activity. Predicted to be involved in histone H4 acetylation. Located in nucleolus and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
"MTREX","protein_coding","ENSG00000039123","Enables ATP binding activity and RNA helicase activity. Involved in RNA catabolic process; cellular response to DNA damage stimulus; and maturation of 5.8S rRNA. Located in nucleoplasm. Part of TRAMP complex and catalytic step 2 spliceosome. Colocalizes with nuclear exosome (RNase complex). Biomarker of amyotrophic lateral sclerosis. [provided by Alliance of Genome Resources, Apr 2022]"
"LSG1","protein_coding","ENSG00000041802","This gene encodes a protein related to the yeast large subunit GTPase 1. The encoded protein is necessary for cell viability and may localize in the endoplasmic reticulum, nucleus and cytoplasm.[provided by RefSeq, Feb 2009]"
"CTNNA1","protein_coding","ENSG00000044115","This gene encodes a member of the catenin family of proteins that play an important role in cell adhesion process by connecting cadherins located on the plasma membrane to the actin filaments inside the cell. The encoded mechanosensing protein contains three vinculin homology domains and undergoes conformational changes in response to cytoskeletal tension, resulting in the reconfiguration of cadherin-actin filament connections. Certain mutations in this gene cause butterfly-shaped pigment dystrophy. [provided by RefSeq, May 2016]"
"ATOSA","protein_coding","ENSG00000047346",""
"ARAP2","protein_coding","ENSG00000047365","The protein encoded by this gene contains ARF-GAP, RHO-GAP, ankyrin repeat, RAS-associating, and pleckstrin homology domains. The protein is a phosphatidylinositol (3,4,5)-trisphosphate-dependent Arf6 GAP that binds RhoA-GTP, but it lacks the predicted catalytic arginine in the RHO-GAP domain and does not have RHO-GAP activity. The protein associates with focal adhesions and functions downstream of RhoA to regulate focal adhesion dynamics. [provided by RefSeq, Sep 2008]"
"TPR","protein_coding","ENSG00000047410","This gene encodes a large coiled-coil protein that forms intranuclear filaments attached to the inner surface of nuclear pore complexes (NPCs). The protein directly interacts with several components of the NPC. It is required for the nuclear export of mRNAs and some proteins. Oncogenic fusions of the 5' end of this gene with several different kinase genes occur in some neoplasias. [provided by RefSeq, Jul 2008]"
"FAM120A","protein_coding","ENSG00000048828","Enables RNA binding activity. Located in cytosol. [provided by Alliance of Genome Resources, Apr 2022]"
"ARID4B","protein_coding","ENSG00000054267","This gene encodes a protein with sequence similarity to retinoblastoma-binding protein-1. The encoded protein is a subunit of the histone deacetylase-dependant SIN3A transcriptional corepressor complex, which functions in diverse cellular processes including proliferation, differentiation, apoptosis, oncogenesis, and cell fate determination. The gene product is recognized by IgG antibody isolated from a breast cancer patient and appears to be a molecular marker associated with a broad range of human malignancies. Alternate transcriptional splice variants encoding different isoforms have been characterized. [provided by RefSeq, Jul 2008]"
"PLEKHH1","protein_coding","ENSG00000054690","Predicted to be located in cytoskeleton. [provided by Alliance of Genome Resources, Apr 2022]"
"GINM1","protein_coding","ENSG00000055211","Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]"
"TMCC3","protein_coding","ENSG00000057704","Enables 14-3-3 protein binding activity and identical protein binding activity. Located in endoplasmic reticulum. [provided by Alliance of Genome Resources, Apr 2022]"
"ATP11B","protein_coding","ENSG00000058063","P-type ATPases, such as ATP11B, are phosphorylated in their intermediate state and drive uphill transport of ions across membranes. Several subfamilies of P-type ATPases have been identified. One subfamily transports heavy metal ions, such as Cu(2+) or Cd(2+). Another subfamily transports non-heavy metal ions, such as H(+), Na(+), K(+), or Ca(+). A third subfamily transports amphipaths, such as phosphatidylserine.[supplied by OMIM, Feb 2005]"
"CCAR1","protein_coding","ENSG00000060339","Enables RNA polymerase II cis-regulatory region sequence-specific DNA binding activity; nuclear receptor coactivator activity; and transcription corepressor activity. Involved in positive regulation of cell migration and positive regulation of cell population proliferation. Acts upstream of or within positive regulation of apoptotic process. Located in nuclear envelope lumen. [provided by Alliance of Genome Resources, Apr 2022]"
"QSER1","protein_coding","ENSG00000060749",""
"ZNF112","protein_coding","ENSG00000062370","Predicted to enable DNA-binding transcription activator activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in regulation of transcription by RNA polymerase II. Predicted to be active in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
"WAPL","protein_coding","ENSG00000062650","Involved in several processes, including negative regulation of DNA replication; negative regulation of chromatin binding activity; and regulation of sister chromatid cohesion. Located in several cellular components, including Golgi apparatus; intercellular bridge; and microtubule cytoskeleton. [provided by Alliance of Genome Resources, Apr 2022]"
"LIMCH1","protein_coding","ENSG00000064042","Enables myosin II head/neck binding activity. Involved in several processes, including cytoplasmic actin-based contraction involved in cell motility; positive regulation of stress fiber assembly; and regulation of focal adhesion assembly. Located in stress fiber. Colocalizes with myosin II complex. [provided by Alliance of Genome Resources, Apr 2022]"
"INTS13","protein_coding","ENSG00000064102","Involved in regulation of mitotic cell cycle. Acts upstream of or within centrosome localization; mitotic spindle organization; and protein localization to nuclear envelope. Located in cytoplasm and nuclear body. [provided by Alliance of Genome Resources, Apr 2022]"
"SLC12A2","protein_coding","ENSG00000064651","The protein encoded by this gene mediates sodium and chloride transport and reabsorption. The encoded protein is a membrane protein and is important in maintaining proper ionic balance and cell volume. This protein is phosphorylated in response to DNA damage. Three transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Jan 2012]"
"PKN2","protein_coding","ENSG00000065243","Enables RNA polymerase binding activity; histone deacetylase binding activity; and protein serine/threonine kinase activity. Involved in several processes, including apical junction assembly; positive regulation of cell cycle; and positive regulation of viral genome replication. Located in several cellular components, including cleavage furrow; cytoskeleton; and midbody. [provided by Alliance of Genome Resources, Apr 2022]"
"FAM107B","protein_coding","ENSG00000065809","Predicted to act upstream of or within sensory perception of sound. [provided by Alliance of Genome Resources, Apr 2022]"
"CDK13","protein_coding","ENSG00000065883","The protein encoded by this gene is a member of the cyclin-dependent serine/threonine protein kinase family. Members of this family are well known for their essential roles as master switches in cell cycle control. The exact function of this protein has not yet been determined, but it may play a role in mRNA processing and may be involved in regulation of hematopoiesis. Alternatively spliced transcript variants have been described.[provided by RefSeq, Dec 2009]"
"DIP2B","protein_coding","ENSG00000066084","This gene encodes a member of the disco-interacting protein homolog 2 protein family. The encoded protein contains a binding site for the transcriptional regulator DNA methyltransferase 1 associated protein 1 as well as AMP-binding sites. The presence of these sites suggests that the encoded protein may participate in DNA methylation. This gene is located near a folate-sensitive fragile site, and CGG-repeat expansion in the promoter of this gene which affects transcription has been detected in individuals containing this fragile site on chromosome 12. [provided by RefSeq, Aug 2011]"
"MTFR1","protein_coding","ENSG00000066855","This gene encodes a mitochondrial protein that is characterized by a poly-proline rich region. A chicken homolog of this protein promotes mitochondrial fission and the mouse homolog protects cells from oxidative stress. A related pseudogene of this gene is found on chromosome X. [provided by RefSeq, Mar 2009]"
"PLPP1","protein_coding","ENSG00000067113","The protein encoded by this gene is a member of the phosphatidic acid phosphatase (PAP) family. PAPs convert phosphatidic acid to diacylglycerol, and function in synthesis of glycerolipids and in phospholipase D-mediated signal transduction. This enzyme is an integral membrane glycoprotein that plays a role in the hydrolysis and uptake of lipids from extracellular space. Alternate splicing results in multiple transcript variants of this gene. [provided by RefSeq, May 2013]"
"HEATR6","protein_coding","ENSG00000068097","Enables RNA binding activity. [provided by Alliance of Genome Resources, Apr 2022]"
"KIF2A","protein_coding","ENSG00000068796","The protein encoded by this gene is a plus end-directed motor required for normal mitotic progression. The encoded protein is required for normal spindle activity during mitosis and is necessary for normal brain development. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2011]"
"LRP6","protein_coding","ENSG00000070018","This gene encodes a member of the low density lipoprotein (LDL) receptor gene family. LDL receptors are transmembrane cell surface proteins involved in receptor-mediated endocytosis of lipoprotein and protein ligands. The protein encoded by this gene functions as a receptor or, with Frizzled, a co-receptor for Wnt and thereby transmits the canonical Wnt/beta-catenin signaling cascade. Through its interaction with the Wnt/beta-catenin signaling cascade this gene plays a role in the regulation of cell differentiation, proliferation, and migration and the development of many cancer types. This protein undergoes gamma-secretase dependent RIP- (regulated intramembrane proteolysis) processing but the precise locations of the cleavage sites have not been determined.[provided by RefSeq, Dec 2009]"
"TESK2","protein_coding","ENSG00000070759","This gene product is a serine/threonine protein kinase that contains an N-terminal protein kinase domain that is structurally similar to the kinase domains of testis-specific protein kinase-1 and the LIM motif-containing protein kinases (LIMKs). Its overall structure is most related to the former, indicating that it belongs to the TESK subgroup of the LIMK/TESK family of protein kinases. This gene is predominantly expressed in testis and prostate. The developmental expression pattern of the rat gene in testis suggests an important role for this gene in meitoic stages and/or early stages of spermiogenesis. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2016]"
"PALS1","protein_coding","ENSG00000072415","This gene encodes a member of the p55-like subfamily of the membrane-associated guanylate kinase (MAGUK) gene superfamily. The encoded protein participates in the polarization of differentiating cells, has been shown to regulate myelinating Schwann cells (PMID: 20237282), and is one of the components of the Crumbs complex in the retina. Mice which express lower levels of the orthologous protein have retinal degeneration and impaired vision (PMID: 22114289). Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Feb 2012]"
"RHOBTB1","protein_coding","ENSG00000072422","The protein encoded by this gene belongs to the Rho family of the small GTPase superfamily. It contains a GTPase domain, a proline-rich region, a tandem of 2 BTB (broad complex, tramtrack, and bric-a-brac) domains, and a conserved C-terminal region. The protein plays a role in small GTPase-mediated signal transduction and the organization of the actin filament system. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Dec 2008]"
"SMC1A","protein_coding","ENSG00000072501","Proper cohesion of sister chromatids is a prerequisite for the correct segregation of chromosomes during cell division. The cohesin multiprotein complex is required for sister chromatid cohesion. This complex is composed partly of two structural maintenance of chromosomes (SMC) proteins, SMC3 and either SMC1B or the protein encoded by this gene. Most of the cohesin complexes dissociate from the chromosomes before mitosis, although those complexes at the kinetochore remain. Therefore, the encoded protein is thought to be an important part of functional kinetochores. In addition, this protein interacts with BRCA1 and is phosphorylated by ATM, indicating a potential role for this protein in DNA repair. This gene, which belongs to the SMC gene family, is located in an area of the X-chromosome that escapes X inactivation. Mutations in this gene result in Cornelia de Lange syndrome. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2013]"
"DERL2","protein_coding","ENSG00000072849","Proteins that are unfolded or misfolded in the endoplasmic reticulum (ER) must be refolded or degraded to maintain the homeostasis of the ER. DERL2 is involved in the degradation of misfolded glycoproteins in the ER (Oda et al., 2006 [PubMed 16449189]).[supplied by OMIM, Mar 2008]"
"PDE8A","protein_coding","ENSG00000073417","The protein encoded by this gene belongs to the cyclic nucleotide phosphodiesterase (PDE) family, and PDE8 subfamily. This PDE hydrolyzes the second messenger, cAMP, which is a regulator and mediator of a number of cellular responses to extracellular signals. Thus, by regulating the cellular concentration of cAMP, this protein plays a key role in many important physiological processes. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Jul 2011]"
"KDM5A","protein_coding","ENSG00000073614","This gene encodes a member of the Jumonji, AT-rich interactive domain 1 (JARID1) histone demethylase protein family. The encoded protein plays a role in gene regulation through the histone code by specifically demethylating lysine 4 of histone H3. The encoded protein interacts with many other proteins, including retinoblastoma protein, and is implicated in the transcriptional regulation of Hox genes and cytokines. This gene may play a role in tumor progression. [provided by RefSeq, Aug 2013]"
"PPP2R3A","protein_coding","ENSG00000073711","This gene encodes one of the regulatory subunits of the protein phosphatase 2. Protein phosphatase 2 (formerly named type 2A) is one of the four major Ser/Thr phosphatases and is implicated in the negative control of cell growth and division. Protein phosphatase 2 holoenzymes are heterotrimeric proteins composed of a structural subunit A, a catalytic subunit C, and a regulatory subunit B. The regulatory subunit is encoded by a diverse set of genes that have been grouped into the B/PR55, B'/PR61, and B''/PR72 families. These different regulatory subunits confer distinct enzymatic specificities and intracellular localizations to the holozenzyme. The product of this gene belongs to the B'' family. The B'' family has been further divided into subfamilies. The product of this gene belongs to the alpha subfamily of regulatory subunit B''. Alternative splicing results in multiple transcript variants encoding different isoforms.[provided by RefSeq, Jun 2010]"
"PICALM","protein_coding","ENSG00000073921","This gene encodes a clathrin assembly protein, which recruits clathrin and adaptor protein complex 2 (AP2) to cell membranes at sites of coated-pit formation and clathrin-vesicle assembly. The protein may be required to determine the amount of membrane to be recycled, possibly by regulating the size of the clathrin cage. The protein is involved in AP2-dependent clathrin-mediated endocytosis at the neuromuscular junction. A chromosomal translocation t(10;11)(p13;q14) leading to the fusion of this gene and the MLLT10 gene is found in acute lymphoblastic leukemia, acute myeloid leukemia and malignant lymphomas. The polymorphisms of this gene are associated with the risk of Alzheimer disease. Multiple alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2011]"
"LMAN1","protein_coding","ENSG00000074695","The protein encoded by this gene is a membrane mannose-specific lectin that cycles between the endoplasmic reticulum, endoplasmic reticulum-Golgi intermediate compartment, and cis-Golgi, functioning as a cargo receptor for glycoprotein transport. The protein has an N-terminal signal sequence, a calcium-dependent and pH-sensitive carbohydrate recognition domain, a stalk region that functions in oligomerization, a transmembrane domain, and a short cytoplasmic domain required for organelle targeting. Allelic variants of this gene are associated with the autosomal recessive disorder combined factor V-factor VIII deficiency. [provided by RefSeq, Jul 2015]"
"ZNF638","protein_coding","ENSG00000075292","The protein encoded by this gene is a nucleoplasmic protein. It binds cytidine-rich sequences in double-stranded DNA. This protein has three types of domains: MH1, MH2 (repeated three times) and MH3. It is associated with packaging, transferring, or processing transcripts. Multiple alternatively spliced transcript variants have been found for this gene, but the biological validity of some variants has not been determined. [provided by RefSeq, Jul 2008]"
"ZNF37A","protein_coding","ENSG00000075407","Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in regulation of transcription by RNA polymerase II. Located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
"FRYL","protein_coding","ENSG00000075539","Predicted to be involved in cell morphogenesis and neuron projection development. Predicted to be active in cell cortex and site of polarized growth. [provided by Alliance of Genome Resources, Apr 2022]"
"DLG1","protein_coding","ENSG00000075711","This gene encodes a multi-domain scaffolding protein that is required for normal development. This protein may have a role in septate junction formation, signal transduction, cell proliferation, synaptogenesis and lymphocyte activation. A multitude of transcript variants deriving from alternative splicing and the use of multiple alternate promoter have been observed, including some splice variants that may be specific to brain and other tissues. An upstream uORF may regulate translation at some splice variants of this gene. [provided by RefSeq, Sep 2018]"
"REXO2","protein_coding","ENSG00000076043","This gene encodes a 3'-to-5' exonuclease specific for small (primarily 5 nucleotides or less in length) single-stranded RNA and DNA oligomers. This protein may have a role in DNA repair, replication, and recombination, and in RNA processing and degradation. It may also be involved in resistance of human cells to UV-C-induced cell death through its role in the DNA repair process. [provided by RefSeq, Nov 2011]"
"RBM7","protein_coding","ENSG00000076053","Enables 14-3-3 protein binding activity; pre-mRNA intronic binding activity; and snRNA binding activity. Involved in snRNA catabolic process. Located in nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
"MLH1","protein_coding","ENSG00000076242","The protein encoded by this gene can heterodimerize with mismatch repair endonuclease PMS2 to form MutL alpha, part of the DNA mismatch repair system. When MutL alpha is bound by MutS beta and some accessory proteins, the PMS2 subunit of MutL alpha introduces a single-strand break near DNA mismatches, providing an entry point for exonuclease degradation. The encoded protein is also involved in DNA damage signaling and can heterodimerize with DNA mismatch repair protein MLH3 to form MutL gamma, which is involved in meiosis. This gene was identified as a locus frequently mutated in hereditary nonpolyposis colon cancer (HNPCC). [provided by RefSeq, Aug 2017]"
"KLHL20","protein_coding","ENSG00000076321","The protein encoded by this gene is a member of the kelch family of proteins, which is characterized by a 44-56 amino acid repeat motif. The kelch motif appears in many different polypeptide contexts and contains multiple potential protein-protein contact sites. Members of this family are present both throughout the cell and extracellularly, with diverse activities. [provided by RefSeq, Jul 2008]"
